LGA,Year,Developmentally on track (%),Developmentally vulnerable (%)
Alpine,2009,77.41935484,8.064516129
Ararat,2009,75.42372881,14.40677966
Ballarat,2009,80.28600613,8.886618999
Banyule,2009,86.46322379,4.616588419
Bass Coast,2009,72.22222222,10.78431373
Baw Baw,2009,76.63755459,8.951965066
Bayside (Vic.),2009,88.27160494,2.733686067
Benalla,2009,87.14285714,7.142857143
Boroondara,2009,87.94167134,3.533370723
Brimbank,2009,75.34448819,8.218503937
Buloke,2009,67.74193548,12.90322581
Campaspe,2009,74.01746725,9.6069869
Cardinia,2009,82.82828283,6.397306397
Casey,2009,76.62747347,10.43877258
Central Goldfields,2009,59.82142857,16.96428571
Colac Otway,2009,63.07053942,10.78838174
Corangamite,2009,75.77319588,10.82474227
Darebin,2009,80.98802395,7.410179641
East Gippsland,2009,69.63350785,12.82722513
Frankston,2009,76.52111668,11.09520401
Gannawarra,2009,73.33333333,12
Glen Eira,2009,86.60990712,4.334365325
Glenelg,2009,86.05577689,5.577689243
Golden Plains,2009,87.54448399,6.40569395
Greater Bendigo,2009,79.66260544,7.497656982
Greater Dandenong,2009,76.33959638,12.31732777
Greater Geelong,2009,83.58013937,6.31533101
Greater Shepparton,2009,78.6188579,9.296148738
Hepburn,2009,86.02941176,2.941176471
Hindmarsh,2009,63.23529412,17.64705882
Hobsons Bay,2009,76.56950673,8.408071749
Horsham,2009,84.30493274,6.726457399
Hume,2009,75.06309944,10.4997476
Indigo,2009,85.02415459,3.381642512
Kingston (Vic.),2009,85.84298584,5.212355212
Knox,2009,83.06982872,7.048748353
Latrobe (Vic.),2009,72.56740914,11.95779601
Loddon,2009,75.64102564,12.82051282
Macedon Ranges,2009,78.05343511,6.488549618
Manningham,2009,86.26279863,4.351535836
Mansfield,2009,98.11320755,0
Maribyrnong,2009,74.28998505,10.76233184
Maroondah,2009,77.60791367,7.104316547
Melbourne,2009,74.45255474,13.13868613
Melton,2009,85.58823529,6.323529412
Mildura,2009,76.54109589,10.61643836
Mitchell,2009,82.15767635,8.921161826
Moira,2009,79.8013245,9.271523179
Monash,2009,82.68261965,6.423173804
Moonee Valley,2009,88.60986547,3.049327354
Moorabool,2009,83.62068966,6.034482759
Moreland,2009,82.65541059,6.753645434
Mornington Peninsula,2009,75.13644633,9.157064888
Mount Alexander,2009,83.15789474,7.894736842
Moyne,2009,79.342723,6.572769953
Murrindindi,2009,68,8
Nillumbik,2009,88.83312422,3.889585947
Northern Grampians,2009,69.29133858,14.96062992
Port Phillip,2009,86.44067797,6.214689266
Pyrenees,2009,81.96721311,1.639344262
Queenscliffe,2009,*,*
South Gippsland,2009,78.35365854,8.536585366
Southern Grampians,2009,84.57446809,5.85106383
Stonnington,2009,85.95744681,6.95035461
Strathbogie,2009,75,10.71428571
Surf Coast,2009,91.22807018,4.678362573
Swan Hill,2009,77.56653992,12.92775665
Towong,2009,81.53846154,6.153846154
Wangaratta,2009,84.17910448,4.776119403
Warrnambool,2009,82.45614035,8.270676692
Wellington,2009,79.78494624,8.172043011
West Wimmera,2009,89.58333333,10.41666667
Whitehorse,2009,85.80521961,4.392106938
Whittlesea,2009,81.12522686,8.469449486
Wodonga,2009,73.96313364,9.447004608
Wyndham,2009,76.19047619,9.216589862
Yarra,2009,80.63314711,8.193668529
Yarra Ranges,2009,80.75471698,7.169811321
Yarriambiack,2009,66.66666667,17.39130435
Alpine,2012,62.80991736,7.438016529
Ararat,2012,80.62015504,9.302325581
Ballarat,2012,80.08368201,8.535564854
Banyule,2012,78.8393489,7.855626327
Bass Coast,2012,64.80836237,12.19512195
Baw Baw,2012,85.12396694,6.404958678
Bayside (Vic.),2012,86.97123519,4.568527919
Benalla,2012,69.64285714,14.88095238
Boroondara,2012,90.77380952,3.273809524
Brimbank,2012,79.25216598,9.347925217
Buloke,2012,65.43209877,12.34567901
Campaspe,2012,79.08045977,7.586206897
Cardinia,2012,86.94187026,5.223251896
Casey,2012,80.16324512,8.335394509
Central Goldfields,2012,73.68421053,17.29323308
Colac Otway,2012,74.9034749,9.266409266
Corangamite,2012,80.09259259,12.5
Darebin,2012,86.59254415,5.559189012
East Gippsland,2012,77.91932059,12.10191083
Frankston,2012,76.94220012,9.198259789
Gannawarra,2012,71.42857143,8.928571429
Glen Eira,2012,86.99712644,4.813218391
Glenelg,2012,78.28054299,8.14479638
Golden Plains,2012,86.01398601,5.594405594
Greater Bendigo,2012,80.7751938,7.674418605
Greater Dandenong,2012,69.5347355,13.12938177
Greater Geelong,2012,81.36620857,8.528698464
Greater Shepparton,2012,77.10843373,9.529025192
Hepburn,2012,64.32748538,12.86549708
Hindmarsh,2012,64.58333333,18.75
Hobsons Bay,2012,81.7047817,8.93970894
Horsham,2012,83.52941176,9.019607843
Hume,2012,75.54530201,11.40939597
Indigo,2012,77.31481481,7.407407407
Kingston (Vic.),2012,82.80363224,5.334846765
Knox,2012,84.20074349,7.063197026
Latrobe (Vic.),2012,75.71059432,11.88630491
Loddon,2012,80,8
Macedon Ranges,2012,80.16393443,8.032786885
Manningham,2012,88.5046729,3.644859813
Mansfield,2012,90,5.555555556
Maribyrnong,2012,82.09331652,6.935687264
Maroondah,2012,83.95368073,5.872622002
Melbourne,2012,76.5171504,9.498680739
Melton,2012,81.27659574,8.571428571
Mildura,2012,76.32275132,11.9047619
Mitchell,2012,75.14340344,8.986615679
Moira,2012,82.13256484,5.475504323
Monash,2012,85.4859335,5.37084399
Moonee Valley,2012,77.51736111,7.465277778
Moorabool,2012,84.14322251,5.37084399
Moreland,2012,84.63035019,5.966277562
Mornington Peninsula,2012,82.92682927,7.260351673
Mount Alexander,2012,72.9281768,13.25966851
Moyne,2012,87.6,6
Murrindindi,2012,64.93506494,15.58441558
Nillumbik,2012,83.37408313,3.056234719
Northern Grampians,2012,88.98305085,3.389830508
Port Phillip,2012,79.56521739,5.942028986
Pyrenees,2012,81.57894737,11.84210526
Queenscliffe,2012,*,*
South Gippsland,2012,80.78431373,5.882352941
Southern Grampians,2012,83.13953488,5.813953488
Stonnington,2012,86.41975309,3.395061728
Strathbogie,2012,80.64516129,8.602150538
Surf Coast,2012,84.4783715,5.852417303
Swan Hill,2012,75.81227437,11.9133574
Towong,2012,89.47368421,5.263157895
Wangaratta,2012,90.51987768,4.892966361
Warrnambool,2012,83.67875648,5.958549223
Wellington,2012,80.03533569,10.07067138
West Wimmera,2012,97.05882353,0
Whitehorse,2012,87.95599305,4.921829763
Whittlesea,2012,78.06390081,9.012875536
Wodonga,2012,76.04166667,11.04166667
Wyndham,2012,77.58754864,10
Yarra,2012,80.38528897,8.406304729
Yarra Ranges,2012,83.74730022,6.155507559
Yarriambiack,2012,80.51948052,12.98701299
Alpine,2015,82.94573643,5.426356589
Ararat,2015,80.18018018,13.51351351
Ballarat,2015,80.84227911,8.009909166
Banyule,2015,85.64321251,5.828002843
Bass Coast,2015,86.76470588,5
Baw Baw,2015,75.8037225,9.306260575
Bayside (Vic.),2015,88.50475367,3.802938634
Benalla,2015,76.82119205,13.90728477
Boroondara,2015,86.75799087,4.337899543
Brimbank,2015,76.74311927,12.01834862
Buloke,2015,85.48387097,4.838709677
Campaspe,2015,75.6043956,11.86813187
Cardinia,2015,82.93413174,7.709580838
Casey,2015,80.46108194,8.787947957
Central Goldfields,2015,73.4375,14.84375
Colac Otway,2015,75.68627451,13.33333333
Corangamite,2015,87.64044944,7.303370787
Darebin,2015,85.12396694,5.975842339
East Gippsland,2015,78.3625731,8.771929825
Frankston,2015,79.30614729,9.129640901
Gannawarra,2015,63.82978723,13.82978723
Glen Eira,2015,84.93060145,5.023132849
Glenelg,2015,74.50980392,11.76470588
Golden Plains,2015,84.63855422,3.915662651
Greater Bendigo,2015,80.68097705,8.8823094
Greater Dandenong,2015,76.13310384,11.64658635
Greater Geelong,2015,82.41584158,7.564356436
Greater Shepparton,2015,75.6284153,10.27322404
Hepburn,2015,70.05988024,10.77844311
Hindmarsh,2015,56.25,4.166666667
Hobsons Bay,2015,79.35606061,7.007575758
Horsham,2015,79.21568627,9.803921569
Hume,2015,76.99619772,9.429657795
Indigo,2015,77.07006369,8.917197452
Kingston (Vic.),2015,84.66993999,5.346426623
Knox,2015,84.54386984,6.682161534
Latrobe (Vic.),2015,72.70375162,15.13583441
Loddon,2015,71.64179104,16.41791045
Macedon Ranges,2015,83.95461912,4.862236629
Manningham,2015,86.09958506,5.705394191
Mansfield,2015,78.94736842,6.315789474
Maribyrnong,2015,84.10810811,6.054054054
Maroondah,2015,85.42319749,5.799373041
Melbourne,2015,76.17977528,10.11235955
Melton,2015,78.54077253,8.679065331
Mildura,2015,80.48433048,8.831908832
Mitchell,2015,77.95138889,8.333333333
Moira,2015,77.63578275,11.82108626
Monash,2015,87.64581124,5.196182397
Moonee Valley,2015,84.35498628,5.4894785
Moorabool,2015,77.74647887,9.014084507
Moreland,2015,79.26525529,8.592777086
Mornington Peninsula,2015,76.74288901,7.919687674
Mount Alexander,2015,65.38461538,14.74358974
Moyne,2015,89.27038627,6.008583691
Murrindindi,2015,74.82993197,9.523809524
Nillumbik,2015,86.49006623,3.708609272
Northern Grampians,2015,77.41935484,11.82795699
Port Phillip,2015,81.63558106,5.451936872
Pyrenees,2015,85.71428571,9.523809524
Queenscliffe,2015,*,*
South Gippsland,2015,81.93146417,8.099688474
Southern Grampians,2015,90.86294416,3.553299492
Stonnington,2015,86.24113475,5.815602837
Strathbogie,2015,92.15686275,3.921568627
Surf Coast,2015,84,7.058823529
Swan Hill,2015,72.82229965,13.24041812
Towong,2015,85,1.666666667
Wangaratta,2015,78.01204819,10.54216867
Warrnambool,2015,78.90995261,10.18957346
Wellington,2015,84.64646465,7.676767677
West Wimmera,2015,86.44067797,10.16949153
Whitehorse,2015,88.68274583,4.26716141
Whittlesea,2015,75.71484528,7.481394438
Wodonga,2015,79.20604915,7.372400756
Wyndham,2015,76.26921961,9.86364955
Yarra,2015,72.37479806,11.47011309
Yarra Ranges,2015,83.4841629,6.391402715
Yarriambiack,2015,70.37037037,13.58024691
Alpine,2018,71.2,12.8
Ararat,2018,75.42372881,14.40677966
Ballarat,2018,78.7268332,11.03948429
Banyule,2018,83.92732355,5.73025856
Bass Coast,2018,78.2369146,7.988980716
Baw Baw,2018,78.91891892,11.71171171
Bayside (Vic.),2018,89.8409894,3.533568905
Benalla,2018,81.51260504,12.60504202
Boroondara,2018,84.84848485,4.727272727
Brimbank,2018,80.56128766,9.28600908
Buloke,2018,71.15384615,21.15384615
Campaspe,2018,71.84035477,11.75166297
Cardinia,2018,84.18114144,7.506203474
Casey,2018,82.99659932,7.841568314
Central Goldfields,2018,69.29133858,18.11023622
Colac Otway,2018,77.86561265,10.67193676
Corangamite,2018,80.2955665,12.80788177
Darebin,2018,82.83723876,6.586447118
East Gippsland,2018,77.56813417,12.78825996
Frankston,2018,80.90024331,7.664233577
Gannawarra,2018,81.25,5.208333333
Glen Eira,2018,86.2745098,5.042016807
Glenelg,2018,74.07407407,14.28571429
Golden Plains,2018,77.55775578,7.590759076
Greater Bendigo,2018,79.14723518,9.327115256
Greater Dandenong,2018,79.52928298,10.34482759
Greater Geelong,2018,79.31661214,8.833151581
Greater Shepparton,2018,70.78384798,16.50831354
Hepburn,2018,80.62015504,13.17829457
Hindmarsh,2018,76.5625,14.0625
Hobsons Bay,2018,79.74910394,10.21505376
Horsham,2018,75.10373444,11.61825726
Hume,2018,73.22910019,12.95469049
Indigo,2018,67.01030928,17.01030928
Kingston (Vic.),2018,81.69092945,5.879059351
Knox,2018,83.82817435,6.380290587
Latrobe (Vic.),2018,71.61716172,16.39163916
Loddon,2018,77.6119403,16.41791045
Macedon Ranges,2018,82.28840125,6.896551724
Manningham,2018,79.89821883,6.700593723
Mansfield,2018,91.46341463,6.097560976
Maribyrnong,2018,83.72591006,5.56745182
Maroondah,2018,82.12598425,7.322834646
Melbourne,2018,80,7.457627119
Melton,2018,81.38075314,7.949790795
Mildura,2018,75.18463811,10.93057607
Mitchell,2018,83.24873096,6.429780034
Moira,2018,78.66242038,10.50955414
Monash,2018,86.43391521,5.935162095
Moonee Valley,2018,86.26198083,4.712460064
Moorabool,2018,86.28428928,4.738154613
Moreland,2018,79.58236659,7.656612529
Mornington Peninsula,2018,79.83002833,7.818696884
Mount Alexander,2018,60.92715232,16.55629139
Moyne,2018,86.31578947,5.789473684
Murrindindi,2018,86.99186992,9.756097561
Nillumbik,2018,86.93181818,3.977272727
Northern Grampians,2018,87.5,4.807692308
Port Phillip,2018,88.80105402,4.611330698
Pyrenees,2018,73.61111111,12.5
Queenscliffe,2018,*,*
South Gippsland,2018,74.93036212,10.30640669
Southern Grampians,2018,77.84431138,13.17365269
Stonnington,2018,86.06321839,6.034482759
Strathbogie,2018,86.9047619,3.571428571
Surf Coast,2018,83.61045131,6.175771971
Swan Hill,2018,73.46938776,9.523809524
Towong,2018,82.75862069,12.06896552
Wangaratta,2018,85.18518519,4.012345679
Warrnambool,2018,85.38011696,6.140350877
Wellington,2018,76.49253731,10.44776119
West Wimmera,2018,72.5,15
Whitehorse,2018,87.03271028,4.556074766
Whittlesea,2018,79.83222649,8.388675288
Wodonga,2018,80.91993186,8.177172061
Wyndham,2018,79.95896033,8.504331965
Yarra,2018,80.70469799,9.395973154
Yarra Ranges,2018,78.82285055,7.789959608
Yarriambiack,2018,69.09090909,18.18181818
Alpine,2021,88.59649123,3.50877193
Ararat,2021,70.33898305,12.71186441
Ballarat,2021,79.08396947,9.847328244
Banyule,2021,87.64792899,4.215976331
Bass Coast,2021,80.76923077,12.13017751
Baw Baw,2021,71.67182663,12.38390093
Bayside (Vic.),2021,90.68522484,3.211991435
Benalla,2021,78.76106195,8.849557522
Boroondara,2021,85.47140649,4.55950541
Brimbank,2021,74.69990766,11.26500462
Buloke,2021,68.62745098,11.76470588
Campaspe,2021,68.03874092,14.28571429
Cardinia,2021,82.3601721,7.25261217
Casey,2021,83.99250234,6.579194002
Central Goldfields,2021,70.94017094,19.65811966
Colac Otway,2021,83.53909465,6.995884774
Corangamite,2021,73.96449704,13.60946746
Darebin,2021,83.91376451,5.223880597
East Gippsland,2021,80,9.024390244
Frankston,2021,80.07402838,8.760024676
Gannawarra,2021,80,8.695652174
Glen Eira,2021,83.77001456,5.312954876
Glenelg,2021,81.38297872,10.10638298
Golden Plains,2021,77.39130435,11.30434783
Greater Bendigo,2021,76.40625,10.234375
Greater Dandenong,2021,77.95321637,10.70175439
Greater Geelong,2021,78.88012026,9.056745584
Greater Shepparton,2021,75.54417414,11.9078105
Hepburn,2021,69.91869919,9.756097561
Hindmarsh,2021,64.44444444,13.33333333
Hobsons Bay,2021,85.51587302,6.646825397
Horsham,2021,77.87234043,8.510638298
Hume,2021,75.09270705,11.49567367
Indigo,2021,84.06593407,3.296703297
Kingston (Vic.),2021,84.30094787,6.042654028
Knox,2021,81.90127971,7.556368068
Latrobe (Vic.),2021,72.92954265,14.58590853
Loddon,2021,79.66101695,11.86440678
Macedon Ranges,2021,79.71473851,6.339144216
Manningham,2021,85.9348199,5.746140652
Mansfield,2021,92,1.333333333
Maribyrnong,2021,87.87878788,5.575757576
Maroondah,2021,83.97383483,5.478331971
Melbourne,2021,80.54662379,10.45016077
Melton,2021,80.48148148,9.333333333
Mildura,2021,82.54211332,9.954058193
Mitchell,2021,72.34678625,12.10762332
Moira,2021,76.08695652,11.49068323
Monash,2021,84.30571762,6.184364061
Moonee Valley,2021,85.95859586,5.670567057
Moorabool,2021,80.42959427,9.307875895
Moreland,2021,79.59731544,8.120805369
Mornington Peninsula,2021,80.99870298,6.549935149
Mount Alexander,2021,87.64705882,4.117647059
Moyne,2021,84.61538462,7.211538462
Murrindindi,2021,89.16666667,3.333333333
Nillumbik,2021,84,4.52173913
Northern Grampians,2021,76.54320988,12.34567901
Port Phillip,2021,81.47651007,6.845637584
Pyrenees,2021,82.35294118,8.823529412
South Gippsland,2021,75.40453074,11.97411003
Southern Grampians,2021,85.54216867,6.626506024
Stonnington,2021,85.33772652,3.13014827
Strathbogie,2021,87.03703704,7.407407407
Surf Coast,2021,92.5170068,2.494331066
Swan Hill,2021,71.94570136,15.38461538
Towong,2021,72.09302326,9.302325581
Wangaratta,2021,80.42813456,9.480122324
Warrnambool,2021,83.51648352,7.692307692
Wellington,2021,75.23809524,11.42857143
West Wimmera,2021,77.41935484,9.677419355
Whitehorse,2021,84.68468468,6.628056628
Whittlesea,2021,82.1632516,6.818945247
Wodonga,2021,80.78994614,7.540394973
Wyndham,2021,80.50395046,8.904548366
Yarra,2021,78.24427481,9.732824427
Yarra Ranges,2021,79.7731569,8.380592313
Yarriambiack,2021,79.66101695,11.86440678
